country,month,working_days
AD,1995-01,21
AD,1995-02,19
AD,1995-03,22
AD,1995-04,18
AD,1995-05,22
AD,1995-06,21
AD,1995-07,21
AD,1995-08,22
AD,1995-09,20
AD,1995-10,22
AD,1995-11,21
AD,1995-12,18
AD,1996-01,22
AD,1996-02,20
AD,1996-03,20
AD,1996-04,20
AD,1996-05,21
AD,1996-06,20
AD,1996-07,23
AD,1996-08,21
AD,1996-09,21
AD,1996-10,23
AD,1996-11,20
AD,1996-12,20
AD,1997-01,21
AD,1997-02,19
AD,1997-03,18
AD,1997-04,22
AD,1997-05,20
AD,1997-06,21
AD,1997-07,23
AD,1997-08,20
AD,1997-09,21
AD,1997-10,23
AD,1997-11,20
AD,1997-12,20
AD,1998-01,20
AD,1998-02,19
AD,1998-03,22
AD,1998-04,20
AD,1998-05,20
AD,1998-06,21
AD,1998-07,23
AD,1998-08,21
AD,1998-09,21
AD,1998-10,22
AD,1998-11,21
AD,1998-12,21
AD,1999-01,19
AD,1999-02,19
AD,1999-03,23
AD,1999-04,20
AD,1999-05,20
AD,1999-06,22
AD,1999-07,22
AD,1999-08,22
AD,1999-09,21
AD,1999-10,21
AD,1999-11,21
AD,1999-12,22
AD,2000-01,20
AD,2000-02,21
AD,2000-03,21
AD,2000-04,18
AD,2000-05,22
AD,2000-06,21
AD,2000-07,21
AD,2000-08,22
AD,2000-09,20
AD,2000-10,22
AD,2000-11,21
AD,2000-12,18
AD,2001-01,22
AD,2001-02,19
AD,2001-03,21
AD,2001-04,19
AD,2001-05,22
AD,2001-06,20
AD,2001-07,22
AD,2001-08,22
AD,2001-09,20
AD,2001-10,23
AD,2001-11,21
AD,2001-12,19
AD,2002-01,22
AD,2002-02,19
AD,2002-03,19
AD,2002-04,21
AD,2002-05,21
AD,2002-06,20
AD,2002-07,23
AD,2002-08,21
AD,2002-09,21
AD,2002-10,23
AD,2002-11,20
AD,2002-12,20
AD,2003-01,21
AD,2003-02,20
AD,2003-03,19
AD,2003-04,20
AD,2003-05,21
AD,2003-06,20
AD,2003-07,23
AD,2003-08,20
AD,2003-09,21
AD,2003-10,23
AD,2003-11,20
AD,2003-12,20
AD,2004-01,20
AD,2004-02,19
AD,2004-03,23
AD,2004-04,20
AD,2004-05,20
AD,2004-06,22
AD,2004-07,22
AD,2004-08,22
AD,2004-09,21
AD,2004-10,21
AD,2004-11,21
AD,2004-12,22
AD,2005-01,20
AD,2005-02,19
AD,2005-03,20
AD,2005-04,21
AD,2005-05,21
AD,2005-06,22
AD,2005-07,21
AD,2005-08,22
AD,2005-09,21
AD,2005-10,21
AD,2005-11,21
AD,2005-12,20
AD,2006-01,21
AD,2006-02,19
AD,2006-03,22
AD,2006-04,18
AD,2006-05,22
AD,2006-06,21
AD,2006-07,21
AD,2006-08,22
AD,2006-09,20
AD,2006-10,22
AD,2006-11,21
AD,2006-12,18
AD,2007-01,22
AD,2007-02,19
AD,2007-03,21
AD,2007-04,19
AD,2007-05,21
AD,2007-06,21
AD,2007-07,22
AD,2007-08,22
AD,2007-09,20
AD,2007-10,23
AD,2007-11,21
AD,2007-12,19
AD,2008-01,22
AD,2008-02,20
AD,2008-03,18
AD,2008-04,22
AD,2008-05,20
AD,2008-06,21
AD,2008-07,23
AD,2008-08,20
AD,2008-09,21
AD,2008-10,23
AD,2008-11,20
AD,2008-12,20
AD,2009-01,20
AD,2009-02,19
AD,2009-03,22
AD,2009-04,20
AD,2009-05,20
AD,2009-06,21
AD,2009-07,23
AD,2009-08,21
AD,2009-09,21
AD,2009-10,22
AD,2009-11,21
AD,2009-12,21
AD,2010-01,19
AD,2010-02,19
AD,2010-03,23
AD,2010-04,20
AD,2010-05,20
AD,2010-06,22
AD,2010-07,22
AD,2010-08,22
AD,2010-09,21
AD,2010-10,21
AD,2010-11,21
AD,2010-12,22
AD,2011-01,20
AD,2011-02,20
AD,2011-03,21
AD,2011-04,19
AD,2011-05,22
AD,2011-06,21
AD,2011-07,21
AD,2011-08,22
AD,2011-09,21
AD,2011-10,21
AD,2011-11,21
AD,2011-12,20
AD,2012-01,21
AD,2012-02,20
AD,2012-03,21
AD,2012-04,19
AD,2012-05,21
AD,2012-06,21
AD,2012-07,22
AD,2012-08,22
AD,2012-09,20
AD,2012-10,23
AD,2012-11,21
AD,2012-12,19
AD,2013-01,22
AD,2013-02,19
AD,2013-03,19
AD,2013-04,21
AD,2013-05,21
AD,2013-06,20
AD,2013-07,23
AD,2013-08,21
AD,2013-09,21
AD,2013-10,23
AD,2013-11,20
AD,2013-12,20
AD,2014-01,21
AD,2014-02,20
AD,2014-03,19
AD,2014-04,20
AD,2014-05,21
AD,2014-06,20
AD,2014-07,23
AD,2014-08,20
AD,2014-09,21
AD,2014-10,23
AD,2014-11,20
AD,2014-12,20
AD,2015-01,20
AD,2015-02,19
AD,2015-03,22
AD,2015-04,20
AD,2015-05,19
AD,2015-06,22
AD,2015-07,23
AD,2015-08,21
AD,2015-09,21
AD,2015-10,22
AD,2015-11,21
